Date,Total,Positive,Average,Volume,Price,Change
2015-01-01,24.0,19.0,0.7916666666666666,NaN,NaN,NaN
2015-01-02,28.0,22.0,0.7857142857142857,53204626.0,109.33,-1.0499999999999972
2015-01-03,6.0,4.0,0.6666666666666666,NaN,NaN,NaN
2015-01-04,4.0,2.0,0.5,NaN,NaN,NaN
2015-01-05,40.0,34.0,0.85,64285491.0,106.25,-3.0799999999999983
2015-01-06,29.0,27.0,0.9310344827586207,65797116.0,106.26,0.010000000000005116
2015-01-07,36.0,24.0,0.6666666666666666,40105934.0,107.75,1.4899999999999949
2015-01-08,56.0,48.0,0.8571428571428571,59364547.0,111.89,4.140000000000001
2015-01-09,37.0,27.0,0.7297297297297297,53315099.0,112.01,0.12000000000000455
2015-01-10,4.0,4.0,1.0,NaN,NaN,NaN
2015-01-11,3.0,3.0,1.0,NaN,NaN,NaN
2015-01-12,27.0,24.0,0.8888888888888888,49650790.0,109.25,-2.760000000000005
2015-01-13,45.0,37.0,0.8222222222222222,67091928.0,110.22,0.9699999999999989
2015-01-14,61.0,50.0,0.819672131147541,48956588.0,109.8,-0.4200000000000017
2015-01-15,60.0,53.0,0.8833333333333333,60013996.0,106.82,-2.980000000000004
2015-01-16,8.0,8.0,1.0,78513345.0,105.99,-0.8299999999999983
2015-01-17,10.0,8.0,0.8,NaN,NaN,NaN
2015-01-18,1.0,1.0,1.0,NaN,NaN,NaN
2015-01-19,16.0,12.0,0.75,NaN,NaN,NaN
2015-01-20,32.0,29.0,0.90625,49899907.0,108.72,2.730000000000004
2015-01-21,32.0,26.0,0.8125,48575897.0,109.55,0.8299999999999983
2015-01-22,45.0,43.0,0.9555555555555556,53796409.0,112.4,2.8500000000000085
2015-01-23,25.0,21.0,0.84,46464828.0,112.98,0.5799999999999983
2015-01-24,10.0,7.0,0.7,NaN,NaN,NaN
2015-01-25,6.0,5.0,0.8333333333333334,NaN,NaN,NaN
2015-01-26,48.0,41.0,0.8541666666666666,55614979.0,113.1,0.11999999999999034
2015-01-27,91.0,73.0,0.8021978021978022,95568749.0,109.14,-3.9599999999999937
2015-01-28,145.0,126.0,0.8689655172413793,146477063.0,115.31,6.170000000000002
2015-01-29,78.0,67.0,0.8589743589743589,84436432.0,118.9,3.5900000000000034
2015-01-30,31.0,28.0,0.9032258064516129,83745461.0,117.16,-1.740000000000009
2015-01-31,13.0,12.0,0.9230769230769231,NaN,NaN,NaN
2015-02-01,9.0,8.0,0.8888888888888888,NaN,NaN,NaN
2015-02-02,56.0,44.0,0.7857142857142857,62739100.0,118.63,1.4699999999999989
2015-02-03,41.0,37.0,0.9024390243902439,51915749.0,118.65,0.020000000000010232
2015-02-04,48.0,43.0,0.8958333333333334,70149743.0,119.56,0.9099999999999966
2015-02-05,33.0,28.0,0.8484848484848485,42246245.0,119.94,0.37999999999999545
2015-02-06,26.0,19.0,0.7307692307692307,43706567.0,118.93,-1.009999999999991
2015-02-07,4.0,3.0,0.75,NaN,NaN,NaN
2015-02-08,4.0,4.0,1.0,NaN,NaN,NaN
2015-02-09,32.0,27.0,0.84375,38889797.0,119.72,0.789999999999992
2015-02-10,48.0,44.0,0.9166666666666666,62008506.0,122.02,2.299999999999997
2015-02-11,85.0,69.0,0.8117647058823529,73561797.0,124.88,2.8599999999999994
2015-02-12,70.0,58.0,0.8285714285714286,74474466.0,126.46,1.5799999999999983
2015-02-13,49.0,39.0,0.7959183673469388,54272219.0,127.08,0.6200000000000045
2015-02-14,22.0,15.0,0.6818181818181818,NaN,NaN,NaN
2015-02-15,7.0,6.0,0.8571428571428571,NaN,NaN,NaN
2015-02-16,14.0,13.0,0.9285714285714286,NaN,NaN,NaN
2015-02-17,54.0,46.0,0.8518518518518519,63152405.0,127.83,0.75
2015-02-18,38.0,33.0,0.868421052631579,44891737.0,128.715,0.8850000000000051
2015-02-19,66.0,48.0,0.7272727272727273,37362381.0,128.45,-0.2650000000000148
2015-02-20,45.0,31.0,0.6888888888888889,48948419.0,129.495,1.045000000000016
2015-02-21,11.0,9.0,0.8181818181818182,NaN,NaN,NaN
2015-02-22,3.0,2.0,0.6666666666666666,NaN,NaN,NaN
2015-02-23,56.0,47.0,0.8392857142857143,70974110.0,133.0,3.5049999999999955
2015-02-24,62.0,56.0,0.9032258064516129,69228130.0,132.17,-0.8300000000000125
2015-02-25,61.0,45.0,0.7377049180327869,74711746.0,128.79,-3.3799999999999955
2015-02-26,67.0,51.0,0.7611940298507462,91287529.0,130.415,1.625
2015-02-27,46.0,30.0,0.6521739130434783,62014847.0,128.46,-1.954999999999984
2015-02-28,15.0,10.0,0.6666666666666666,NaN,NaN,NaN
2015-03-01,14.0,12.0,0.8571428571428571,NaN,NaN,NaN
2015-03-02,68.0,60.0,0.8823529411764706,48096663.0,129.09,0.6299999999999955
2015-03-03,57.0,49.0,0.8596491228070176,37816283.0,129.36,0.27000000000001023
2015-03-04,65.0,49.0,0.7538461538461538,31666340.0,128.54,-0.8200000000000216
2015-03-05,55.0,44.0,0.8,56517146.0,126.41,-2.1299999999999955
2015-03-06,87.0,67.0,0.7701149425287356,72842060.0,126.6,0.18999999999999773
2015-03-07,31.0,30.0,0.967741935483871,NaN,NaN,NaN
2015-03-08,13.0,10.0,0.7692307692307693,NaN,NaN,NaN
2015-03-09,179.0,160.0,0.8938547486033519,88528487.0,127.14,0.5400000000000063
2015-03-10,187.0,157.0,0.839572192513369,68856582.0,124.51,-2.6299999999999955
2015-03-11,104.0,73.0,0.7019230769230769,68938974.0,122.24,-2.2700000000000102
2015-03-12,78.0,66.0,0.8461538461538461,48362719.0,124.45,2.210000000000008
2015-03-13,57.0,46.0,0.8070175438596491,51827283.0,123.59,-0.8599999999999994
2015-03-14,21.0,18.0,0.8571428571428571,NaN,NaN,NaN
2015-03-15,5.0,3.0,0.6,NaN,NaN,NaN
2015-03-16,44.0,37.0,0.8409090909090909,35874300.0,124.95,1.3599999999999994
2015-03-17,58.0,44.0,0.7586206896551724,51023104.0,127.04,2.0900000000000034
2015-03-18,52.0,46.0,0.8846153846153846,65270945.0,128.47,1.4299999999999926
2015-03-19,49.0,42.0,0.8571428571428571,45809490.0,127.495,-0.9749999999999943
2015-03-20,28.0,24.0,0.8571428571428571,68695136.0,125.9,-1.5949999999999989
2015-03-21,11.0,8.0,0.7272727272727273,NaN,NaN,NaN
2015-03-22,4.0,3.0,0.75,NaN,NaN,NaN
2015-03-23,46.0,37.0,0.8043478260869565,37709674.0,127.21,1.309999999999988
2015-03-24,40.0,39.0,0.975,32842304.0,126.69,-0.519999999999996
2015-03-25,24.0,18.0,0.75,51655177.0,123.38,-3.3100000000000023
2015-03-26,53.0,47.0,0.8867924528301887,47572869.0,124.24,0.8599999999999994
2015-03-27,34.0,33.0,0.9705882352941176,39546151.0,123.25,-0.9899999999999949
2015-03-28,14.0,14.0,1.0,NaN,NaN,NaN
2015-03-29,6.0,6.0,1.0,NaN,NaN,NaN
2015-03-30,43.0,35.0,0.813953488372093,47099670.0,126.37,3.1200000000000045
2015-03-31,46.0,42.0,0.9130434782608695,42090553.0,124.43,-1.9399999999999977
2015-04-01,37.0,31.0,0.8378378378378378,40621437.0,124.25,-0.18000000000000682
2015-04-02,26.0,26.0,1.0,32220131.0,125.32,1.0699999999999932
2015-04-03,16.0,14.0,0.875,NaN,NaN,NaN
2015-04-04,8.0,8.0,1.0,NaN,NaN,NaN
2015-04-05,5.0,3.0,0.6,NaN,NaN,NaN
2015-04-06,25.0,23.0,0.92,37193975.0,127.35,2.030000000000001
2015-04-07,44.0,38.0,0.8636363636363636,35012268.0,126.01,-1.3399999999999892
2015-04-08,56.0,47.0,0.8392857142857143,37329243.0,125.6,-0.4100000000000108
2015-04-09,95.0,84.0,0.8842105263157894,32483974.0,126.56,0.960000000000008
