Date,Total,Positive,Average,Price
2015-01-01,24.0,19.0,0.7916666666666666,NaN
2015-01-02,28.0,22.0,0.7857142857142857,109.33
2015-01-03,6.0,4.0,0.6666666666666666,NaN
2015-01-04,4.0,2.0,0.5,NaN
2015-01-05,40.0,34.0,0.85,106.25
2015-01-06,29.0,27.0,0.9310344827586207,106.26
2015-01-07,36.0,24.0,0.6666666666666666,107.75
2015-01-08,56.0,48.0,0.8571428571428571,111.89
2015-01-09,37.0,27.0,0.7297297297297297,112.01
2015-01-10,4.0,4.0,1.0,NaN
2015-01-11,3.0,3.0,1.0,NaN
2015-01-12,27.0,24.0,0.8888888888888888,109.25
2015-01-13,45.0,37.0,0.8222222222222222,110.22
2015-01-14,61.0,50.0,0.819672131147541,109.8
2015-01-15,60.0,53.0,0.8833333333333333,106.82
2015-01-16,8.0,8.0,1.0,105.99
2015-01-17,10.0,8.0,0.8,NaN
2015-01-18,1.0,1.0,1.0,NaN
2015-01-19,16.0,12.0,0.75,NaN
2015-01-20,32.0,29.0,0.90625,108.72
2015-01-21,32.0,26.0,0.8125,109.55
2015-01-22,45.0,43.0,0.9555555555555556,112.4
2015-01-23,25.0,21.0,0.84,112.98
2015-01-24,10.0,7.0,0.7,NaN
2015-01-25,6.0,5.0,0.8333333333333334,NaN
2015-01-26,48.0,41.0,0.8541666666666666,113.1
2015-01-27,91.0,73.0,0.8021978021978022,109.14
2015-01-28,145.0,126.0,0.8689655172413793,115.31
2015-01-29,78.0,67.0,0.8589743589743589,118.9
2015-01-30,31.0,28.0,0.9032258064516129,117.16
2015-01-31,13.0,12.0,0.9230769230769231,NaN
2015-02-01,9.0,8.0,0.8888888888888888,NaN
2015-02-02,56.0,44.0,0.7857142857142857,118.63
2015-02-03,41.0,37.0,0.9024390243902439,118.65
2015-02-04,48.0,43.0,0.8958333333333334,119.56
2015-02-05,33.0,28.0,0.8484848484848485,119.94
2015-02-06,26.0,19.0,0.7307692307692307,118.93
2015-02-07,4.0,3.0,0.75,NaN
2015-02-08,4.0,4.0,1.0,NaN
2015-02-09,32.0,27.0,0.84375,119.72
2015-02-10,48.0,44.0,0.9166666666666666,122.02
2015-02-11,85.0,69.0,0.8117647058823529,124.88
2015-02-12,70.0,58.0,0.8285714285714286,126.46
2015-02-13,49.0,39.0,0.7959183673469388,127.08
2015-02-14,22.0,15.0,0.6818181818181818,NaN
2015-02-15,7.0,6.0,0.8571428571428571,NaN
2015-02-16,14.0,13.0,0.9285714285714286,NaN
2015-02-17,54.0,46.0,0.8518518518518519,127.83
2015-02-18,38.0,33.0,0.868421052631579,128.715
2015-02-19,66.0,48.0,0.7272727272727273,128.45
2015-02-20,45.0,31.0,0.6888888888888889,129.495
2015-02-21,11.0,9.0,0.8181818181818182,NaN
2015-02-22,3.0,2.0,0.6666666666666666,NaN
2015-02-23,56.0,47.0,0.8392857142857143,133.0
2015-02-24,62.0,56.0,0.9032258064516129,132.17
2015-02-25,61.0,45.0,0.7377049180327869,128.79
2015-02-26,67.0,51.0,0.7611940298507462,130.415
2015-02-27,46.0,30.0,0.6521739130434783,128.46
2015-02-28,15.0,10.0,0.6666666666666666,NaN
2015-03-01,14.0,12.0,0.8571428571428571,NaN
2015-03-02,68.0,60.0,0.8823529411764706,129.09
2015-03-03,57.0,49.0,0.8596491228070176,129.36
2015-03-04,65.0,49.0,0.7538461538461538,128.54
2015-03-05,55.0,44.0,0.8,126.41
2015-03-06,87.0,67.0,0.7701149425287356,126.6
2015-03-07,31.0,30.0,0.967741935483871,NaN
2015-03-08,13.0,10.0,0.7692307692307693,NaN
2015-03-09,179.0,160.0,0.8938547486033519,127.14
2015-03-10,187.0,157.0,0.839572192513369,124.51
2015-03-11,104.0,73.0,0.7019230769230769,122.24
2015-03-12,78.0,66.0,0.8461538461538461,124.45
2015-03-13,57.0,46.0,0.8070175438596491,123.59
2015-03-14,21.0,18.0,0.8571428571428571,NaN
2015-03-15,5.0,3.0,0.6,NaN
2015-03-16,44.0,37.0,0.8409090909090909,124.95
2015-03-17,58.0,44.0,0.7586206896551724,127.04
2015-03-18,52.0,46.0,0.8846153846153846,128.47
2015-03-19,49.0,42.0,0.8571428571428571,127.495
2015-03-20,28.0,24.0,0.8571428571428571,125.9
2015-03-21,11.0,8.0,0.7272727272727273,NaN
2015-03-22,4.0,3.0,0.75,NaN
2015-03-23,46.0,37.0,0.8043478260869565,127.21
2015-03-24,40.0,39.0,0.975,126.69
2015-03-25,24.0,18.0,0.75,123.38
2015-03-26,53.0,47.0,0.8867924528301887,124.24
2015-03-27,34.0,33.0,0.9705882352941176,123.25
2015-03-28,14.0,14.0,1.0,NaN
2015-03-29,6.0,6.0,1.0,NaN
2015-03-30,43.0,35.0,0.813953488372093,126.37
2015-03-31,46.0,42.0,0.9130434782608695,124.43
2015-04-01,37.0,31.0,0.8378378378378378,124.25
2015-04-02,26.0,26.0,1.0,125.32
2015-04-03,16.0,14.0,0.875,NaN
2015-04-04,8.0,8.0,1.0,NaN
2015-04-05,5.0,3.0,0.6,NaN
2015-04-06,25.0,23.0,0.92,127.35
2015-04-07,44.0,38.0,0.8636363636363636,126.01
2015-04-08,56.0,47.0,0.8392857142857143,125.6
2015-04-09,95.0,84.0,0.8842105263157894,126.56
2015-04-10,71.0,63.0,0.8873239436619719,127.1
2015-04-11,21.0,19.0,0.9047619047619048,NaN
2015-04-12,6.0,6.0,1.0,NaN
2015-04-13,61.0,54.0,0.8852459016393442,126.85
2015-04-14,65.0,59.0,0.9076923076923077,126.3
2015-04-15,37.0,28.0,0.7567567567567568,126.78
2015-04-16,63.0,51.0,0.8095238095238095,126.17
2015-04-17,54.0,45.0,0.8333333333333334,124.75
2015-04-18,20.0,17.0,0.85,NaN
