No.,Top1_sent,Top2_sent,Top3_sent,Top4_sent,Top5_sent,Top6_sent,Top7_sent,Top8_sent,Top9_sent,Top10_sent,Top11_sent,Top12_sent,Top13_sent,Top14_sent,Top15_sent,Top16_sent,Top17_sent,Top18_sent,Top19_sent,Top20_sent,Label
1,0,0,0,1,-1,-1,0,-1,-1,0,1,1,-1,-1,0,1,0,-1,1,0,0
2,0,-1,1,0,0,1,-1,1,1,0,0,1,0,1,0,-1,1,0,0,0,1
3,1,0,-1,-1,0,0,0,1,-1,0,1,-1,0,1,1,1,1,-1,-1,1,0
4,0,0,-1,-1,1,0,0,0,0,1,-1,0,1,0,1,-1,0,0,0,0,0
5,0,0,1,-1,-1,-1,1,1,0,-1,0,1,1,1,-1,1,0,1,0,1,1
6,-1,0,-1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,-1,-1,0,1
7,0,1,0,0,0,0,1,0,1,0,0,0,-1,-1,0,1,1,-1,0,0,0
8,0,1,0,-1,0,0,0,-1,1,0,0,1,0,0,0,-1,1,1,0,0,0
9,0,0,1,-1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,1
10,1,-1,0,0,0,1,0,-1,-1,-1,0,0,0,0,0,0,-1,1,1,0,1
11,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
12,0,0,-1,0,1,1,0,-1,0,0,0,-1,0,1,-1,0,0,1,1,0,0
13,-1,-1,1,-1,1,1,-1,0,1,-1,0,0,0,-1,0,0,0,0,0,0,1
14,1,0,-1,0,0,1,0,-1,-1,0,1,1,0,0,0,0,0,1,0,0,1
15,-1,0,-1,0,0,-1,0,0,1,1,0,0,0,0,0,-1,0,-1,0,-1,1
16,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0
17,-1,1,1,0,0,0,-1,1,0,0,1,0,0,0,0,0,-1,1,0,-1,0
18,1,1,0,1,0,-1,0,-1,0,-1,-1,-1,1,0,0,1,1,1,0,0,1
19,-1,-1,1,0,-1,0,1,0,0,0,0,0,0,-1,0,0,1,0,-1,0,0
20,-1,0,-1,-1,1,0,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,1,1
21,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1
22,-1,0,-1,0,1,0,0,0,-1,0,0,-1,0,0,1,-1,-1,-1,1,0,0
23,0,1,0,-1,1,0,-1,0,1,0,-1,0,-1,0,0,1,0,1,1,0,1
24,1,-1,0,0,1,0,-1,0,1,0,0,0,-1,0,1,0,0,0,0,-1,1
25,0,0,-1,0,-1,1,0,-1,0,0,1,0,0,0,1,1,0,-1,0,1,0
26,0,1,0,0,0,-1,-1,0,1,0,0,0,0,-1,0,0,-1,-1,0,0,0
27,-1,0,-1,0,-1,-1,0,0,-1,0,0,-1,1,0,-1,0,0,-1,0,0,1
28,-1,-1,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0
29,-1,0,0,1,0,1,0,0,-1,1,0,-1,1,-1,0,0,1,0,0,0,1
30,0,0,0,0,-1,0,1,0,-1,1,-1,0,0,0,0,0,0,-1,0,0,1
31,0,0,1,1,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
32,-1,0,0,0,0,0,0,1,-1,0,0,0,0,-1,1,-1,0,1,0,-1,0
33,1,-1,0,-1,-1,0,0,1,-1,0,-1,0,1,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,1,-1,1
35,0,1,0,0,1,0,0,-1,-1,0,1,1,0,-1,1,0,0,0,0,0,1
36,0,-1,1,-1,1,-1,0,-1,0,1,-1,0,1,0,0,0,1,0,1,1,0
37,1,-1,0,-1,-1,0,0,0,1,0,-1,0,1,-1,0,0,-1,1,0,1,1
38,1,1,0,0,1,1,0,1,-1,1,1,0,1,0,0,0,0,0,0,0,0
39,0,0,1,0,-1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
40,0,0,0,1,1,0,0,1,-1,1,-1,0,0,-1,1,0,0,0,1,-1,0
41,1,-1,-1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,0,0
42,1,-1,-1,0,-1,-1,0,-1,1,-1,1,1,1,0,-1,0,0,1,-1,0,0
43,1,1,0,0,1,1,0,0,1,0,1,-1,1,0,-1,1,0,-1,-1,0,0
44,-1,-1,-1,0,0,1,-1,0,1,1,0,0,0,-1,0,0,1,0,1,0,0
45,-1,0,1,0,0,0,0,-1,1,0,1,0,0,1,0,1,0,0,0,1,0
46,1,1,0,0,0,0,-1,1,1,1,0,1,-1,1,0,0,1,0,1,-1,1
47,0,0,0,1,1,0,1,1,0,0,0,0,-1,1,1,0,1,0,1,-1,0
48,1,1,-1,1,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
49,0,1,0,-1,1,1,-1,0,-1,1,0,1,-1,0,1,-1,0,-1,-1,0,1
50,-1,0,1,1,-1,0,1,-1,1,0,0,0,1,1,1,1,1,0,1,0,0
51,0,1,-1,1,-1,1,0,0,0,0,0,0,0,1,0,-1,1,1,1,1,1
52,0,1,1,1,1,0,1,0,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,0
53,1,1,1,0,-1,1,1,0,1,0,-1,1,0,0,0,1,0,0,0,0,0
54,1,1,-1,1,1,0,-1,0,0,-1,-1,0,-1,-1,1,0,0,0,-1,0,1
55,0,0,1,0,-1,1,-1,0,0,-1,-1,0,0,0,1,0,0,-1,-1,-1,0
56,0,1,0,-1,1,0,0,0,-1,1,1,-1,-1,0,1,0,0,0,-1,0,0
57,-1,1,0,-1,-1,-1,0,0,0,0,1,0,0,0,-1,1,1,1,0,0,1
58,1,-1,-1,1,0,-1,0,0,0,0,1,0,0,0,1,0,0,-1,1,-1,0
59,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,1,0,-1,0,-1,1,-1,1
60,0,0,-1,-1,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,1
61,0,1,-1,1,0,-1,0,-1,1,-1,0,1,0,-1,-1,0,0,0,-1,1,0
62,0,1,-1,0,-1,0,-1,1,1,0,0,-1,0,-1,0,0,1,1,-1,1,1
63,0,1,0,1,0,0,-1,0,-1,-1,1,0,-1,1,0,0,0,0,-1,1,0
64,-1,0,1,0,1,-1,0,0,1,-1,0,1,0,1,0,0,0,0,-1,0,0
65,0,1,0,0,1,-1,1,0,0,0,-1,0,0,-1,0,0,1,1,1,1,1
66,0,0,-1,1,0,1,0,-1,0,1,-1,1,0,1,0,0,0,0,-1,-1,0
67,0,1,0,0,-1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,1,-1,0
68,-1,-1,0,1,0,0,1,-1,0,1,1,-1,-1,1,0,-1,1,1,0,0,0
69,1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,1
70,0,-1,0,-1,0,0,0,-1,0,0,0,1,-1,-1,0,0,0,0,1,0,0
